time,valence,arousal
0,6.484,4.986
50,6.484,4.986
100,6.484,4.986
150,6.484,4.986
200,6.484,4.986
250,6.484,4.986
300,6.484,4.986
350,6.484,4.986
400,6.484,4.986
450,6.484,4.986
500,6.484,4.986
550,6.484,4.986
600,6.484,4.986
650,6.484,4.986
700,6.484,4.986
750,6.484,4.986
800,6.484,4.986
850,6.484,4.986
900,6.484,4.986
950,6.484,4.986
1000,6.484,4.986
1050,6.484,4.986
1100,6.484,4.986
1150,6.484,4.986
1200,6.484,4.986
1250,6.484,4.986
1300,6.484,4.986
1350,6.484,4.986
1400,6.484,4.986
1450,6.484,4.986
1500,6.484,4.986
1550,6.484,4.986
1600,6.484,4.986
1650,6.484,4.986
1700,6.484,4.986
1750,6.484,4.986
1800,6.484,4.986
1850,6.484,4.986
1900,6.484,4.986
1950,6.484,4.986
2000,6.484,4.986
2050,6.484,4.986
2100,6.484,4.986
2150,6.484,4.986
2200,6.484,4.986
2250,6.484,4.986
2300,6.484,4.986
2350,6.484,4.986
2400,6.484,4.986
2450,6.484,4.986
2500,6.484,4.986
2550,6.484,4.986
2600,6.484,4.986
2650,6.484,4.986
2700,6.484,4.986
2750,6.484,4.986
2800,6.484,4.986
2850,6.484,4.986
2900,6.484,4.986
2950,6.484,4.986
3000,6.484,4.986
3050,6.484,4.986
3100,6.484,4.986
3150,6.484,4.986
3200,6.484,4.986
3250,6.484,4.986
3300,6.484,4.986
3350,6.484,4.986
3400,6.484,4.986
3450,6.484,4.986
3500,6.484,4.986
3550,6.484,4.986
3600,6.484,4.986
3650,6.484,4.986
3700,6.484,4.986
3750,6.484,4.986
3800,6.484,4.986
3850,6.484,4.986
3900,6.484,4.986
3950,6.484,4.986
4000,6.484,4.986
4050,6.484,4.986
4100,6.484,4.986
4150,6.484,4.986
4200,6.484,4.986
4250,6.484,4.986
4300,6.484,4.986
4350,6.484,4.986
4400,6.484,4.986
4450,6.484,4.985
4500,6.484,4.983
4550,6.484,4.983
4600,6.484,4.983
4650,6.484,4.98
4700,6.484,4.979
4750,6.484,4.979
4800,6.484,4.978
4850,6.484,4.977
4900,6.484,4.977
4950,6.484,4.977
5000,6.484,4.977
5050,6.484,4.977
