time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,0.688,37.561,19.539,34.879,28.965,4.905,8.068,6.014
1,0.682,37.562,19.536,34.87,28.955,4.825,7.987,5.974
2,0.701,37.409,19.586,34.908,28.969,5.068,8.23,6.218
3,0.705,37.532,19.56,34.966,28.965,4.908,8.111,6.139
4,0.702,37.639,19.544,34.89,28.965,4.987,7.987,6.098
5,0.701,37.467,19.59,34.86,28.958,4.826,7.864,5.894
6,0.708,37.293,19.567,34.879,28.958,4.865,7.985,6.014
7,0.721,37.406,19.536,34.851,28.955,4.824,7.864,5.934
8,0.721,37.513,19.586,34.898,28.972,5.027,8.107,6.136
9,0.728,37.36,19.61,34.889,28.962,4.907,7.947,6.057
10,0.715,37.493,19.509,34.908,28.965,4.947,8.026,6.097
11,0.711,37.619,19.567,34.88,28.955,4.785,7.865,5.935
12,0.711,37.678,19.528,34.899,28.958,4.864,7.863,6.014
13,0.708,37.17,19.59,34.87,28.951,4.906,7.782,5.974
14,0.695,37.328,19.567,34.889,28.965,5.028,8.066,6.096
15,0.695,37.445,19.559,34.899,28.955,4.907,7.946,6.016
16,0.705,37.513,19.622,34.908,28.965,4.947,7.986,6.015
17,0.698,37.188,19.591,34.889,28.955,4.907,7.824,6.056
18,0.675,37.347,19.567,34.889,28.958,4.865,7.944,6.056
19,0.672,37.445,19.61,34.889,28.955,4.865,7.864,5.934
20,0.688,37.494,19.654,34.899,28.969,4.946,7.985,6.136
21,0.708,37.111,19.591,34.908,28.962,4.907,7.946,5.976
22,0.705,37.26,19.482,34.908,28.958,4.906,7.986,6.055
23,0.715,37.358,19.543,34.908,28.962,4.947,7.864,5.975
24,0.711,37.368,19.563,34.908,28.958,4.947,7.904,6.015
25,0.724,37.014,19.567,34.889,28.951,4.866,7.863,5.974
26,0.728,37.135,19.587,34.889,28.962,4.987,7.985,6.015
27,0.767,37.232,19.583,34.908,28.962,4.907,7.905,5.974
28,0.767,37.54,19.571,34.947,28.962,4.987,7.945,6.015
29,0.77,37.083,19.556,34.909,28.965,4.907,7.823,5.893
30,0.764,37.183,19.598,34.908,28.965,4.947,7.822,5.973
31,0.77,37.299,19.63,34.889,28.958,4.907,7.781,6.015
32,0.78,36.984,19.634,34.908,28.962,4.947,7.903,6.056
33,0.774,37.096,19.599,34.918,28.965,4.947,7.863,6.056
34,0.78,37.193,19.595,34.909,28.965,4.947,7.904,6.056
35,0.797,37.271,19.548,34.908,28.972,4.947,7.945,6.015
36,0.79,36.802,19.559,34.908,28.962,4.907,7.864,6.015
37,0.787,36.941,19.61,34.889,28.955,4.825,7.863,5.974
38,0.79,37.048,19.603,34.927,28.965,5.027,7.985,6.177
39,0.813,37.154,19.529,34.937,28.958,4.989,7.986,6.098
40,0.807,36.839,19.551,34.918,28.962,4.988,8.027,6.178
41,0.826,36.98,19.563,34.899,28.965,4.948,7.987,6.017
42,0.81,37.077,19.594,34.908,28.962,4.988,8.027,6.096
43,0.826,37.155,19.556,34.995,28.958,4.948,8.027,6.016
44,0.826,36.781,19.559,34.909,28.962,4.988,8.068,6.137
45,0.852,36.931,19.591,34.918,28.965,4.988,8.15,6.098
46,0.853,37.038,19.587,34.918,28.962,5.029,8.191,6.138
47,0.872,37.097,19.591,34.909,28.962,5.03,8.07,6.057
48,0.863,36.79,19.606,34.899,28.962,4.948,8.109,6.097
49,0.879,36.941,19.572,34.889,28.955,4.907,8.028,6.097
50,0.872,37.019,19.536,34.947,28.958,4.987,8.149,6.26
51,0.869,37.097,19.543,34.918,28.965,4.907,8.232,6.18
52,0.866,36.704,19.563,34.918,28.965,4.987,8.151,6.22
53,0.853,36.825,19.591,34.928,28.965,5.07,8.191,6.18
54,0.843,36.922,19.548,34.909,28.962,4.908,8.07,6.139
55,0.853,36.76,19.579,34.908,28.955,5.028,8.069,6.179
56,0.843,36.72,19.571,34.889,28.962,4.948,8.069,6.179
57,0.849,36.921,19.575,34.956,28.965,5.029,8.069,6.301
58,0.827,36.98,19.575,34.928,28.965,4.989,8.109,6.302
59,0.833,36.655,19.602,34.918,28.965,5.07,8.109,6.343
60,0.826,36.757,19.568,34.899,28.948,4.948,7.947,6.303
61,0.843,36.873,19.497,34.927,28.962,4.988,7.905,6.221
62,0.856,36.942,19.524,34.918,28.951,4.988,7.904,6.18
63,0.879,36.53,19.543,34.947,28.972,5.07,8.026,6.261
64,0.895,36.641,19.489,34.918,28.962,5.03,7.905,6.343
65,0.912,36.786,19.555,34.937,28.965,4.989,7.945,6.303
66,0.902,36.826,19.563,34.89,28.955,4.988,7.701,6.221
67,0.905,36.481,19.544,34.908,28.965,4.948,7.902,6.22
68,0.899,36.602,19.551,34.899,28.965,4.947,7.742,6.22
69,0.934,36.747,19.567,34.947,28.969,5.15,7.862,6.342
70,0.925,36.787,19.602,34.918,28.962,5.071,7.822,6.343
71,0.912,36.471,19.626,34.928,28.965,5.07,7.781,6.303
72,0.918,36.583,19.548,34.909,28.948,4.908,7.618,6.221
73,0.915,36.699,19.555,34.908,28.951,4.987,7.698,6.302
74,0.896,36.719,19.606,34.908,28.955,4.988,7.618,6.18
75,0.879,36.518,19.587,34.966,28.976,5.11,7.82,6.464
76,0.869,36.631,19.567,34.919,28.958,5.03,7.659,6.304
77,0.859,36.747,19.618,34.928,28.969,5.07,7.698,6.425
