time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,1.382,37.892,40.471,41.006,25.291,5.892,9.013,8.931
1,1.398,38.027,40.558,41.035,25.298,6.015,9.095,9.013
2,1.388,38.046,40.396,41.006,25.298,5.974,9.095,8.849
3,1.382,37.475,40.491,40.987,25.291,5.933,9.095,8.808
4,1.395,37.64,40.36,41.016,25.298,5.933,9.259,8.931
5,1.398,37.756,40.554,41.026,25.305,5.974,9.301,8.972
6,1.408,37.785,40.384,41.016,25.298,5.933,9.382,8.931
7,1.395,37.804,40.546,40.997,25.295,5.851,9.177,8.849
8,1.405,37.95,40.522,40.997,25.302,5.933,9.259,8.89
9,1.418,38.076,40.451,41.045,25.302,5.974,9.382,9.013
10,1.424,38.095,40.534,41.006,25.298,5.974,9.301,8.931
11,1.411,37.669,40.451,41.006,25.291,5.933,9.177,8.89
12,1.405,37.795,40.569,40.997,25.298,5.974,9.259,9.013
13,1.421,37.921,40.396,41.026,25.302,5.933,9.177,9.054
14,1.441,38.085,40.479,41.045,25.305,5.974,9.218,8.972
15,1.424,38.085,40.297,40.987,25.295,5.81,9.095,8.972
16,1.431,38.201,40.356,40.987,25.288,5.81,9.054,8.89
17,1.434,38.318,40.463,41.006,25.295,5.974,9.054,8.972
18,1.447,37.436,40.494,41.026,25.305,6.056,9.177,9.095
19,1.444,37.475,40.569,40.987,25.288,5.892,8.972,8.89
20,1.447,37.601,40.439,41.006,25.295,5.851,9.013,8.931
21,1.437,37.698,40.55,41.006,25.298,5.974,9.095,8.972
22,1.441,37.494,40.427,40.997,25.295,5.892,8.931,8.972
23,1.437,37.62,40.561,41.006,25.291,5.851,8.849,8.931
24,1.451,37.756,40.502,40.997,25.298,5.892,8.931,8.972
25,1.434,37.833,40.613,41.016,25.291,5.892,8.849,8.931
26,1.414,37.601,40.439,40.987,25.291,5.892,8.808,8.849
27,1.424,37.766,40.569,40.997,25.298,5.851,8.849,8.849
28,1.421,37.882,40.356,41.026,25.298,5.974,8.89,9.013
29,1.424,37.959,40.491,40.997,25.302,5.933,8.849,8.972
30,1.405,37.446,40.408,40.987,25.288,5.81,8.684,8.849
31,1.401,37.611,40.561,40.987,25.298,5.81,8.849,8.931
32,1.395,37.737,40.522,41.006,25.298,5.933,8.89,8.972
33,1.398,37.804,40.475,41.035,25.305,5.974,8.849,9.054
34,1.375,37.572,40.506,40.977,25.288,5.892,8.767,8.931
35,1.368,37.707,40.439,40.968,25.288,5.81,8.767,8.89
36,1.378,37.824,40.53,40.987,25.302,5.892,8.849,9.013
37,1.368,37.872,40.467,41.026,25.312,6.015,8.972,9.054
38,1.352,37.494,40.55,40.968,25.288,5.81,8.849,8.972
39,1.355,37.62,40.416,40.987,25.298,5.851,8.808,8.89
40,1.339,37.727,40.542,41.016,25.298,5.851,8.931,8.972
41,1.316,37.543,40.368,40.977,25.302,5.892,8.931,8.972
42,1.313,37.494,40.558,40.968,25.298,5.851,8.931,8.849
43,1.313,37.63,40.447,41.006,25.298,5.933,8.931,8.972
44,1.286,37.717,40.569,40.977,25.302,5.892,8.931,8.931
45,1.273,37.398,40.424,40.977,25.291,5.851,8.808,8.931
46,1.263,37.523,40.455,41.006,25.298,5.851,8.849,8.931
47,1.247,37.649,40.427,41.006,25.302,5.892,8.931,9.013
48,1.221,37.737,40.427,40.987,25.298,5.892,8.808,8.931
49,1.214,37.262,40.502,40.958,25.291,5.851,8.767,8.972
