time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,0.941,36.728,6.746,32.731,26.354,9.137,12.915,7.618
1,0.922,36.796,6.785,32.731,26.346,9.136,12.996,7.739
2,0.922,36.385,6.778,32.721,26.339,9.177,13.159,7.659
3,0.918,36.39,6.739,32.711,26.35,9.177,13.283,7.739
4,0.918,36.515,6.719,32.721,26.346,9.259,13.406,7.659
5,0.925,36.612,6.722,32.74,26.35,9.219,13.367,7.739
6,0.931,36.718,6.75,32.74,26.35,9.259,13.407,7.699
7,0.931,36.873,6.734,32.711,26.346,9.097,13.285,7.618
8,0.938,36.961,6.711,32.692,26.339,9.054,13.203,7.698
9,0.935,37.019,6.75,32.701,26.346,9.176,13.324,7.78
10,0.931,36.368,6.762,32.711,26.346,9.096,13.122,7.74
11,0.935,36.505,6.77,32.721,26.343,9.176,13.039,7.781
12,0.935,36.612,6.719,32.73,26.339,9.096,12.956,7.7
13,0.922,36.69,6.738,32.711,26.343,9.136,12.752,7.699
14,0.909,36.575,6.738,32.711,26.343,9.136,12.709,7.821
15,0.899,36.708,6.746,32.73,26.353,9.136,12.668,7.903
16,0.886,36.863,6.746,32.759,26.357,9.299,12.587,7.904
17,0.889,36.913,6.738,32.769,26.35,9.138,12.464,7.823
18,0.872,36.539,6.746,32.731,26.346,9.095,12.259,7.863
19,0.856,36.66,6.75,32.75,26.35,9.136,12.135,7.944
20,0.846,36.776,6.695,32.75,26.353,9.177,12.134,7.905
21,0.853,36.778,6.71,32.817,26.35,9.177,11.972,7.904
22,0.853,36.893,6.738,32.751,26.346,9.177,11.97,7.945
23,0.862,37.019,6.73,32.759,26.346,9.218,12.011,7.945
24,0.866,37.125,6.758,32.74,26.343,9.218,11.889,7.823
25,0.853,36.676,6.715,32.721,26.339,9.096,11.806,7.822
26,0.849,36.335,6.742,32.721,26.339,9.217,11.968,7.903
27,0.866,36.476,6.777,32.759,26.346,9.218,11.929,7.945
28,0.859,36.554,6.746,32.74,26.346,9.3,11.888,7.905
29,0.849,36.459,6.734,32.75,26.343,9.178,11.806,7.863
30,0.853,36.583,6.691,32.74,26.336,9.218,11.806,7.822
31,0.846,36.718,6.738,32.74,26.339,9.259,11.724,7.781
32,0.84,36.787,6.738,32.75,26.343,9.259,11.723,7.944
