time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,0.78,35.993,41.768,33.882,24.523,4.824,7.494,10.204
1,0.797,36.109,41.807,33.921,24.516,4.824,7.575,10.368
2,0.816,35.828,41.847,33.921,24.534,4.947,7.534,10.697
3,0.807,35.857,41.811,33.931,24.53,4.906,7.494,10.82
4,0.816,35.954,41.776,33.902,24.53,4.824,7.494,10.902
5,0.82,36.071,41.863,33.892,24.53,4.865,7.452,11.149
6,0.816,35.848,41.847,33.921,24.534,4.865,7.452,11.313
7,0.793,35.974,41.811,33.902,24.53,4.906,7.534,11.518
8,0.816,36.138,41.764,33.95,24.544,5.03,7.658,11.764
9,0.807,36.187,41.768,33.902,24.52,4.865,7.452,11.683
10,0.79,35.79,41.764,33.882,24.527,4.783,7.452,11.723
11,0.777,35.983,41.807,33.921,24.537,4.988,7.534,11.888
12,0.8,36.061,41.851,33.911,24.527,4.906,7.575,11.806
13,0.79,36.158,41.768,33.902,24.527,4.824,7.575,11.764
14,0.784,35.693,41.788,33.921,24.534,4.865,7.534,11.641
15,0.787,35.857,41.799,33.921,24.53,4.824,7.575,11.683
16,0.8,35.945,41.843,33.911,24.53,4.906,7.617,11.641
17,0.793,36.022,41.839,33.96,24.544,4.988,7.74,11.723
18,0.777,35.925,41.807,33.882,24.53,4.824,7.534,11.436
19,0.774,36.042,41.784,33.882,24.527,4.947,7.575,11.313
20,0.8,36.196,41.681,33.931,24.534,4.947,7.658,11.313
21,0.777,36.226,41.768,33.911,24.53,4.865,7.658,11.189
22,0.79,35.809,41.835,33.882,24.53,4.824,7.617,11.066
23,0.79,35.974,41.772,33.911,24.527,4.906,7.658,10.943
24,0.793,36.09,41.768,33.921,24.53,4.947,7.575,10.82
25,0.787,36.41,41.788,33.902,24.53,4.865,7.658,10.779
26,0.784,35.799,41.847,33.94,24.548,5.112,7.699,10.779
27,0.774,35.906,41.859,33.882,24.523,4.865,7.575,10.491
28,0.757,35.993,41.827,33.892,24.527,4.906,7.617,10.368
29,0.764,35.819,41.847,33.921,24.534,4.988,7.699,10.368
30,0.754,35.877,41.752,33.902,24.527,4.988,7.617,10.163
31,0.754,35.993,41.831,33.892,24.527,4.865,7.534,10.081
32,0.767,36.09,41.867,33.902,24.53,4.947,7.617,9.999
33,0.774,35.79,41.819,33.892,24.527,4.906,7.494,9.752
34,0.77,35.974,41.78,33.931,24.534,4.988,7.575,9.916
35,0.767,36.109,41.784,33.921,24.544,5.03,7.658,9.876
36,0.761,36.158,41.796,33.892,24.523,4.906,7.534,9.588
37,0.784,35.751,41.819,33.882,24.534,4.906,7.534,9.506
38,0.807,35.935,41.839,33.921,24.537,4.988,7.575,9.506
39,0.78,36.022,41.843,33.902,24.53,4.947,7.575,9.465
40,0.777,36.08,41.784,33.902,24.534,4.947,7.494,9.342
41,0.787,35.702,41.792,33.902,24.516,4.906,7.452,9.259
42,0.787,35.877,41.807,33.892,24.523,4.906,7.411,9.095
43,0.79,35.974,41.874,33.902,24.534,4.906,7.534,9.095
44,0.793,36.071,41.792,33.921,24.537,5.03,7.658,9.054
45,0.79,35.741,41.799,33.882,24.53,4.865,7.452,8.808
