time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,0.787,37.832,20.4,33.728,31.924,7.986,7.0,7.945
1,0.79,37.977,20.415,33.775,31.945,8.149,7.204,8.067
2,0.806,38.065,20.434,33.766,31.935,8.028,7.084,7.946
3,0.794,37.634,20.435,33.728,31.931,8.027,7.164,7.905
4,0.793,37.783,20.419,33.747,31.935,8.027,7.165,7.823
5,0.8,37.89,20.473,33.728,31.938,8.109,7.124,7.863
6,0.81,37.939,20.423,33.737,31.935,8.069,7.124,7.7
7,0.807,37.662,20.403,33.708,31.917,7.824,7.002,7.577
8,0.794,37.784,20.477,33.708,31.938,7.944,7.204,7.616
9,0.8,37.91,20.505,33.727,31.935,7.945,7.206,7.617
10,0.784,37.94,20.392,33.718,31.938,7.864,7.206,7.617
11,0.774,37.7,20.434,33.708,31.924,7.822,7.125,7.576
12,0.774,37.822,20.419,33.727,31.931,7.741,7.287,7.616
13,0.78,37.968,20.458,33.756,31.945,7.862,7.369,7.576
14,0.777,37.605,20.427,33.728,31.931,7.7,7.289,7.494
15,0.771,37.572,20.47,33.728,31.935,7.658,7.288,7.453
16,0.767,37.697,20.439,33.756,31.938,7.658,7.288,7.534
17,0.777,37.794,20.415,33.747,31.935,7.698,7.329,7.494
18,0.784,37.545,20.442,33.737,31.935,7.618,7.248,7.453
19,0.771,37.629,20.485,33.699,31.931,7.535,7.247,7.656
20,0.796,37.755,20.404,33.727,31.935,7.534,7.288,7.739
21,0.79,37.842,20.434,33.718,31.924,7.534,7.288,7.984
22,0.797,37.507,20.45,33.708,31.924,7.494,7.247,8.149
23,0.79,37.638,20.423,33.718,31.924,7.453,7.166,8.313
24,0.797,37.774,20.423,33.747,31.938,7.493,7.328,8.721
25,0.81,37.862,20.481,33.756,31.945,7.534,7.329,8.929
26,0.813,37.431,20.419,33.728,31.935,7.412,7.207,9.093
27,0.807,37.57,20.403,33.737,31.935,7.452,7.247,9.339
28,0.81,37.687,20.462,33.718,31.942,7.452,7.247,9.586
29,0.8,37.726,20.458,33.747,31.935,7.412,7.288,9.791
30,0.79,37.516,20.365,33.718,31.938,7.289,7.125,9.915
31,0.787,37.6,20.403,33.699,31.921,7.288,7.083,10.161
32,0.777,37.754,20.426,33.718,31.931,7.247,7.042,10.244
33,0.787,37.756,20.427,33.718,31.935,7.288,7.082,10.367
34,0.774,37.516,20.466,33.708,31.928,7.247,7.042,10.368
35,0.787,37.619,20.431,33.708,31.935,7.206,7.042,10.368
36,0.784,37.735,20.47,33.718,31.945,7.369,7.204,10.531
37,0.793,37.737,20.47,33.747,31.945,7.33,7.165,10.492
38,0.784,37.554,20.474,33.718,31.942,7.248,7.206,10.41
39,0.793,37.658,20.478,33.727,31.938,7.166,7.125,10.328
40,0.803,37.755,20.474,33.728,31.945,7.246,7.205,10.327
41,0.797,37.401,20.478,33.728,31.935,7.288,7.165,10.327
42,0.807,37.493,20.458,33.699,31.924,7.085,7.084,10.124
43,0.803,37.609,20.458,33.698,31.931,7.164,7.123,10.203
44,0.803,37.716,20.513,33.708,31.928,7.206,7.165,10.082
45,0.813,37.391,20.474,33.689,31.931,7.206,7.206,9.999
46,0.807,37.512,20.49,33.689,31.931,7.084,7.043,9.917
47,0.807,37.638,20.439,33.698,31.931,7.123,7.123,9.998
48,0.816,37.745,20.466,33.737,31.945,7.327,7.287,10.039
49,0.813,37.401,20.509,33.718,31.935,7.167,7.125,9.836
50,0.803,37.513,20.431,33.699,31.931,7.124,7.165,9.794
51,0.81,37.638,20.411,33.708,31.935,7.124,7.165,9.712
52,0.803,37.697,20.415,33.708,31.935,7.165,7.124,9.752
53,0.797,37.42,20.454,33.718,31.942,7.206,7.165,9.63
54,0.787,37.522,20.431,33.699,31.924,7.125,7.002,9.466
55,0.787,37.639,20.435,33.698,31.934,7.246,7.082,9.465
56,0.79,37.688,20.497,33.698,31.931,7.288,7.123,9.383
57,0.79,37.333,20.388,33.708,31.928,7.288,7.002,9.342
58,0.787,37.464,20.407,33.699,31.928,7.288,7.041,9.26
59,0.793,37.58,20.485,33.708,31.935,7.369,7.204,9.3
60,0.816,37.927,20.486,33.747,31.942,7.452,7.165,9.219
61,0.81,37.297,20.412,33.689,31.935,7.412,7.124,9.056
62,0.803,37.444,20.419,33.698,31.931,7.371,7.124,9.054
63,0.807,37.542,20.431,33.698,31.935,7.492,7.165,9.013
64,0.807,37.303,20.415,33.698,31.945,7.412,7.124,8.932
65,0.813,37.368,20.423,33.708,31.938,7.33,7.043,8.728
66,0.82,37.484,20.473,33.67,31.924,7.248,6.96,8.726
67,0.817,37.561,20.419,33.698,31.931,7.328,7.041,8.685
68,0.82,37.198,20.403,33.689,31.928,7.329,7.082,8.603
69,0.803,37.319,20.442,33.689,31.935,7.289,7.042,8.521
70,0.784,37.435,20.45,33.67,31.931,7.288,6.96,8.479
71,0.79,37.523,20.443,33.689,31.935,7.369,7.0,8.601
72,0.8,37.236,20.427,33.718,31.945,7.411,7.082,8.44
73,0.794,37.338,20.442,33.689,31.931,7.371,6.961,8.397
74,0.787,37.464,20.423,33.689,31.945,7.37,6.96,8.356
75,0.79,37.552,20.434,33.698,31.931,7.33,6.96,8.315
76,0.793,37.553,20.493,33.708,31.935,7.492,6.96,8.315
77,0.793,37.687,20.412,33.708,31.935,7.412,6.919,8.152
78,0.787,37.774,20.411,33.66,31.924,7.411,6.837,8.191
79,0.793,37.823,20.446,33.688,31.931,7.411,6.877,8.11
80,0.793,36.884,20.47,33.679,31.931,7.533,6.959,8.15
81,0.797,37.018,20.427,33.66,31.928,7.412,6.878,7.988
82,0.803,37.125,20.427,33.679,31.931,7.452,6.837,7.946
83,0.8,37.155,20.427,33.689,31.935,7.534,6.958,8.026
84,0.816,37.27,20.427,33.708,31.948,7.697,7.082,7.987
85,0.807,37.377,20.411,33.689,31.928,7.577,6.92,7.946
86,0.813,37.474,20.485,33.679,31.938,7.535,7.0,7.864
87,0.81,37.293,20.396,33.67,31.931,7.616,7.001,7.822
88,0.816,37.147,20.446,33.689,31.935,7.617,7.001,7.863
89,0.807,37.29,20.474,33.689,31.931,7.454,6.96,7.7
90,0.794,37.339,20.505,33.66,31.924,7.452,6.919,7.78
91,0.793,37.004,20.451,33.679,31.928,7.534,6.878,7.7
92,0.787,37.106,20.427,33.679,31.938,7.534,6.877,7.699
93,0.78,37.212,20.442,33.67,31.931,7.453,6.877,7.699
94,0.774,37.309,20.372,33.669,31.924,7.412,6.877,7.658
95,0.787,36.908,20.45,33.698,31.938,7.533,7.121,7.78
96,0.8,37.076,20.497,33.708,31.942,7.534,7.002,7.7
97,0.784,37.155,20.396,33.689,31.938,7.412,7.001,7.577
98,0.78,37.251,20.454,33.679,31.931,7.452,6.919,7.738
99,0.79,36.984,20.458,33.67,31.928,7.574,7.0,7.537
100,0.797,37.125,20.509,33.679,31.935,7.494,7.001,7.575
101,0.807,37.222,20.49,33.679,31.924,7.412,6.919,7.454
102,0.79,37.252,20.408,33.689,31.931,7.493,6.959,7.493
103,0.797,36.984,20.458,33.679,31.931,7.412,6.878,7.412
104,0.794,37.115,20.431,33.67,31.931,7.371,6.959,7.411
105,0.793,37.232,20.435,33.65,31.921,7.289,6.878,7.33
106,0.8,37.271,20.47,33.669,31.931,7.329,6.877,7.37
107,0.807,36.917,20.415,33.708,31.942,7.532,7.0,7.573
108,0.81,37.076,20.47,33.679,31.931,7.331,6.919,7.454
109,0.797,37.164,20.474,33.689,31.931,7.329,6.959,7.493
110,0.784,37.501,20.513,33.67,31.942,7.451,6.919,7.656
111,0.787,37.073,20.521,33.669,31.935,7.452,7.0,7.78
112,0.777,37.212,20.49,33.698,31.931,7.371,7.001,7.903
113,0.774,37.29,20.447,33.641,31.917,7.289,6.879,8.107
114,0.774,37.147,20.442,33.679,31.927,7.41,7.0,8.557
115,0.774,37.232,20.419,33.67,31.928,7.371,6.96,8.846
116,0.767,37.348,20.442,33.669,31.931,7.33,7.0,9.133
117,0.77,37.445,20.411,33.65,31.931,7.329,6.96,9.421
118,0.764,36.784,20.43,33.669,31.935,7.37,7.163,9.83
119,0.787,36.95,20.427,33.708,31.935,7.452,7.124,9.916
120,0.787,37.019,20.477,33.67,31.931,7.29,7.083,10.079
121,0.793,37.097,20.517,33.66,31.935,7.329,7.083,10.203
122,0.787,36.886,20.412,33.669,31.938,7.329,7.164,10.326
123,0.793,37.057,20.458,33.679,31.938,7.37,7.165,10.368
124,0.787,37.174,20.431,33.65,31.924,7.126,6.921,10.328
125,0.771,37.204,20.399,33.669,31.931,7.287,7.081,10.408
126,0.787,36.945,20.473,33.641,31.938,7.125,7.083,10.369
127,0.78,37.067,20.353,33.65,31.935,7.165,7.002,10.449
128,0.78,37.183,20.41,33.631,31.921,7.084,7.041,10.41
129,0.78,37.223,20.423,33.65,31.928,7.205,7.082,10.572
130,0.774,36.926,20.473,33.688,31.945,7.328,7.286,10.614
131,0.79,37.067,20.388,33.679,31.928,7.289,7.125,10.574
132,0.774,37.164,20.364,33.66,31.931,7.247,7.083,10.614
133,0.767,37.165,20.426,33.669,31.935,7.288,7.042,10.696
134,0.774,36.945,20.38,33.679,31.938,7.247,7.042,10.697
135,0.771,37.077,20.399,33.66,31.935,7.247,7.001,10.656
136,0.764,37.164,20.477,33.641,31.921,7.125,6.919,10.574
137,0.761,37.012,20.396,33.66,31.928,7.246,7.041,10.736
138,0.764,36.962,20.442,33.641,31.931,7.206,6.96,10.657
139,0.77,37.086,20.442,33.64,31.935,7.247,6.96,10.574
140,0.774,37.174,20.478,33.631,31.924,7.166,6.919,10.574
141,0.777,36.83,20.415,33.65,31.934,7.328,7.122,10.574
142,0.793,36.979,20.399,33.708,31.942,7.37,7.124,10.574
143,0.78,37.086,20.426,33.651,31.935,7.248,7.083,10.411
144,0.784,37.164,20.407,33.65,31.928,7.288,6.961,10.369
145,0.78,36.829,20.403,33.669,31.928,7.288,7.082,10.287
146,0.79,36.96,20.508,33.65,31.941,7.288,7.083,10.245
147,0.793,37.077,20.381,33.66,31.931,7.288,7.042,10.082
148,0.777,37.145,20.442,33.612,31.928,7.207,6.96,10.04
149,0.787,36.925,20.493,33.64,31.935,7.287,7.122,10.04
150,0.771,37.067,20.455,33.64,31.935,7.288,7.002,9.958
151,0.767,37.164,20.411,33.631,31.924,7.329,7.041,9.795
152,0.754,37.232,20.376,33.64,31.924,7.451,7.001,9.753
153,0.757,36.984,20.43,33.64,31.934,7.534,7.163,9.833
154,0.764,37.173,20.446,33.698,31.945,7.738,7.084,9.712
155,0.757,37.232,20.462,33.641,31.938,7.659,7.123,9.63
156,0.757,37.262,20.501,33.64,31.935,7.739,7.124,9.548
157,0.754,36.802,20.447,33.688,31.935,7.943,7.083,9.466
158,0.748,36.941,20.442,33.66,31.935,7.864,7.083,9.424
159,0.764,37.038,20.497,33.65,31.928,7.904,7.002,9.261
160,0.767,37.221,20.459,33.593,31.924,7.823,7.001,9.178
161,0.754,37.079,20.407,33.63,31.938,7.944,7.041,9.096
162,0.757,37.203,20.434,33.65,31.935,7.945,6.96,9.014
